,Time,cycle_phase,cycle_step,chamber_vacuum_valve_pv220,ut_pv220
45149,2017-03-08 12:32,2,1,0,9.323643684
45150,2017-03-08 12:32,2,1,0,9.847219467
45151,2017-03-08 12:32,2,1,0,8.335622787
45152,2017-03-08 12:32,2,1,0,8.002784729
45153,2017-03-08 12:32,2,1,0,8.809605598
45154,2017-03-08 12:32,2,1,0,9.354161263
45155,2017-03-08 12:32,2,1,0,7.331387997
45156,2017-03-08 12:32,2,1,0,7.985619068
45157,2017-03-08 12:32,2,1,0,9.781414986
45158,2017-03-08 12:32,2,1,0,9.386588097
45159,2017-03-08 12:32,2,1,0,9.397079468
45160,2017-03-08 12:32,2,1,0,8.965056419
45161,2017-03-08 12:32,2,1,0,9.098573685
45162,2017-03-08 12:32,2,1,0,7.998970032
45163,2017-03-08 12:32,2,1,0,8.021859169
45164,2017-03-08 12:32,2,1,0,8.21259594
45165,2017-03-08 12:32,2,1,0,9.266422272
45166,2017-03-08 12:32,2,1,0,7.86831522
45167,2017-03-08 12:32,2,1,0,8.395704269
45168,2017-03-08 12:32,2,1,0,9.16151619
45169,2017-03-08 12:32,2,1,0,9.693675041
45170,2017-03-08 12:32,2,1,0,9.545852661
45171,2017-03-08 12:32,2,1,0,12.21331978
45172,2017-03-08 12:32,2,1,0,9.005111694
45173,2017-03-08 12:32,2,1,0,8.836309433
45174,2017-03-08 12:32,2,1,0,8.618867874
45175,2017-03-08 12:32,2,1,0,7.931259155
45176,2017-03-08 12:32,2,1,0,9.551574707
45177,2017-03-08 12:32,2,1,0,8.236438751
45178,2017-03-08 12:32,2,1,0,8.739032745
45179,2017-03-08 12:32,2,1,0,7.383841038
45180,2017-03-08 12:32,2,1,0,8.620775223
45181,2017-03-08 12:33,2,1,0,7.95223999
45182,2017-03-08 12:33,2,1,0,8.57595253
45183,2017-03-08 12:33,2,1,0,9.346531868
45184,2017-03-08 12:33,2,1,0,8.636987686
45185,2017-03-08 12:33,2,1,0,7.439155102
45186,2017-03-08 12:33,2,1,0,8.035210609
45187,2017-03-08 12:33,2,1,0,9.405661583
45188,2017-03-08 12:33,2,1,0,8.675135612
45189,2017-03-08 12:33,2,1,0,8.196383476
45190,2017-03-08 12:33,2,1,0,8.355649948
45191,2017-03-08 12:33,2,1,0,8.453879356
45192,2017-03-08 12:33,2,1,0,9.196804047
45193,2017-03-08 12:33,2,1,0,9.73468399
45194,2017-03-08 12:33,2,1,0,8.730449677
45195,2017-03-08 12:33,2,1,0,9.475280762
45196,2017-03-08 12:33,2,1,0,8.697070122
45197,2017-03-08 12:33,2,1,0,9.40947628
45198,2017-03-08 12:33,2,1,0,9.151025772
45199,2017-03-08 12:33,2,1,0,9.243534088
45200,2017-03-08 12:33,2,1,0,8.877317429
45201,2017-03-08 12:33,2,1,0,8.611237526
45202,2017-03-08 12:33,2,1,0,9.338902473
45203,2017-03-08 12:33,2,1,0,9.97215271
45204,2017-03-08 12:33,2,1,0,10.72270966
45205,2017-03-08 12:33,2,1,0,10.00267029
45206,2017-03-08 12:33,2,1,0,9.997901917
45207,2017-03-08 12:33,2,1,0,9.539176941
45208,2017-03-08 12:33,2,1,0,9.987410545
45209,2017-03-08 12:33,2,1,0,10.51288986
45210,2017-03-08 12:33,2,1,0,13.49316978
45211,2017-03-08 12:33,2,1,0,11.40172958
45212,2017-03-08 12:33,2,1,0,7.960823059
45213,2017-03-08 12:33,2,1,0,8.291751862
45214,2017-03-08 12:33,2,1,0,10.77896976
45215,2017-03-08 12:33,2,1,0,8.124857903
45216,2017-03-08 12:33,2,1,0,8.981269836
45217,2017-03-08 12:33,2,1,0,9.568742752
45218,2017-03-08 12:33,2,1,0,8.221179962
45219,2017-03-08 12:33,2,1,0,8.04188633
45220,2017-03-08 12:33,2,1,0,8.23167038
45221,2017-03-08 12:33,2,1,0,8.63126564
45222,2017-03-08 12:33,2,1,0,8.646524429
45223,2017-03-08 12:33,2,1,0,5.62905407
45224,2017-03-08 12:33,2,1,0,6.552224159
45225,2017-03-08 12:33,2,1,0,5.515563965
45226,2017-03-08 12:33,2,1,0,6.647593021
45227,2017-03-08 12:33,2,1,0,7.278934956
45228,2017-03-08 12:33,2,1,0,11.98062038
45229,2017-03-08 12:33,2,1,0,7.659457207
45230,2017-03-08 12:33,2,1,0,11.90909004
45231,2017-03-08 12:33,2,1,0,16.25886917
45232,2017-03-08 12:33,2,1,0,13.06497002
45233,2017-03-08 12:33,2,1,0,11.74600983
45234,2017-03-08 12:33,2,1,0,12.24479008
45235,2017-03-08 12:33,2,1,0,9.835775375
45236,2017-03-08 12:33,2,1,0,8.614100456
45237,2017-03-08 12:33,2,1,0,8.066681862
45238,2017-03-08 12:33,2,1,0,8.394750595
45239,2017-03-08 12:33,2,1,0,10.64354992
45240,2017-03-08 12:33,2,1,0,9.24162674
45241,2017-03-08 12:34,2,1,0,7.570765018
45242,2017-03-08 12:34,2,1,0,8.923094749
45243,2017-03-08 12:34,2,1,0,6.937513828
45244,2017-03-08 12:34,2,1,0,7.421988964
45245,2017-03-08 12:34,2,1,0,7.777715206
45246,2017-03-08 12:34,2,1,0,7.688066959
45247,2017-03-08 12:34,2,1,0,7.792973995
45248,2017-03-08 12:34,2,1,0,8.255512238
45249,2017-03-08 12:34,2,1,0,18.70985031
45250,2017-03-08 12:34,2,1,0,28.41267967
45251,2017-03-08 12:34,2,1,0,19.17716026
45252,2017-03-08 12:34,2,1,0,13.26809978
45253,2017-03-08 12:34,2,1,0,12.09125042
45254,2017-03-08 12:34,2,1,0,10.89531994
